commitId,cleaned_text,clusters
3a09c2bd625692c319c640277730c30bcce28647,feature added faq  persisting data across multiple app sessions  chore updated titles and configuration examples ,[6]
a10823d309eb3def4663b83dff10df9902c4f117,feature added  chatbot functionality  the unacademy upsc  app enabling users  ask questions and receive aipowered responses  dependency added embedchain streamlit and pysqlite binary libraries ,[0]
94ba82f2a24fe21d497bfba1a19a676e207ae036,bug fix  fix remove unused and deprecated app count method,[4]
f58bbeffcee36505f4773224a7f33f1c278002ed,bug fix added features  display sources  the application ,[4]
73e726f6e3d9989be319515c96e441fca7df0991,configuration  configuration changes    and   bug fix  fixed  issue with the  option  the  command ,[5]
1b661bb2fd134d5063a45806f5a726d2fb0e49e2,"feature added ability  specify the number  results  retrieve via the ""count"" parameter  the config  dependency updated the package version from        ",[0]
4dfce44c1a4abc8d42191d1d57e286ba31f87008,"bug fix removed unnecessary ""channel"" field from the message metadata  dependency update updated dependencies ",[5]
0c45020d811cebf1cdcde274a0933ccab7212437,feature docker support for fullstack app creation and execution  installation updated docker instructions and included images for visual guidance  documentation improved documentation for fullstack app setup and usage ,[0]
6c69ddef9b0131c758a10891e23cbd1d9b3c645a,dependency package version from       ,[5]
dd258c14b54764c953f3e7424aa58bc8a2082b3c,feature gpt all can now work offline ,[1]
dd9b72dc62ac517339d0e66617cb1aa41fcd307f,dependency bump version from       ,[]
f5e3410e9ae1102428746686b69590082f1eccaf,documentation adding  parameter  docs for maintaining chat sessions for different users ,[3]
1976d38b258b8295a975f7e19bf1cb02c6a9e8a6,bug fix fix pdf streamlit example  tests update tests for source link fix ,[0]
ae2e9cb8900bc9501cf58ee7fd7b18541e22eb36,bug fix fixed cache session   chat method  refactor   renamed      renamed      renamed      set   the default config for the  function   set   the default config for the  function ,[4]
a67d902b85b9c127be054789789bb1c710136f3a,bug fix updated seq seq generation top p     control randomness  llm output ,[1]
38ad57a22ca4609747c4873dbba4df4d81bda676,documentation  minor update  documentation with typo fixes and improved wording ,[4]
a304ded5002ce46e5eeee96fb5980f521c11be69,bug fix fixes  bug where  existing doc  not updated with new content  refactor swaps the arguments for  method adds   the  method  check  the data type    chore removes code related  the  list    reduce memory usage  dependency changes parser type file from    and adds  and   the code  configuration adds two new optional fields  the config validation  and  ,[6]
4f70fea6dfefbedaab990cd8c5e70507687b1c4a,bug fix fixed issues with search methods  app   dependency update updated  dependency  ,[5]
bd88fe39809919a45c5347516ea62e2aa1c8b114,refactor updated class  use embedchain helpers json serializable instead  embedchain helper json serializable refactor moved     the import statement,[4]
6a82eb4287c61821a8f4e4176c2128a3f125f28f,feature added score  search results ,[4]
904baac153f049d0d28d545626b8af8f19586622,dependency update package version from       ,[5]
9e2b232c136c9db11605c70306feee70bd012239,dependency package version from       ,[5]
a7e1520d08b232b182a803918b6ce63c78ffadcf,feature added ability  retrieve answer context when citations are enabled  bug fix improved metadata  sources  documentation improved documentation for citation feature ,[3]
dec12b33a60e8bf0fcfeea171fc8771c895abc96,style/formatting update dark mode logo,[4]
e199f572797ccd61100470174bb83ee5e94b20f9,feature redesign   using react and addition  new views and components ,[1]
52b4577d3b2044358cee958c8b2e7b98fc4277ad,feature updated metadata live demo and added documentation links  installation updated community links and added  intro  the file ,[6]
64c02f374a0c588413acff6c00d9cc85d936268c,feature add four new deployment options gradio app huggingface  embedchain  and huggingface spaces  style/formatting move  and  from second  the third list item   ,[6]
97dc90169b7a642d98db80bad46bce5d55574124,feature  updated framework description and link ,[5]
7a026ea282cf1d740d7081d5e81909c4fea30e39,bug fix link  embedchain repo updated  issue searching instruction ,[5]
